"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777453838678329,0.797660196756182,0.797660196756182,0.825748806361605,0.841623946068766,0.821880153930731,0.796181091755574,0.794547255059726,0.809364482023767,0.846755637367694,0.80091533180778,0.861803631886734,0.846755637367694,0.784210526315789,0.822490194583513,0.815494393476045,0.833635375135919,0.837496326770497,0.815553779901436,0.814432989690722,0.786922245667184,0.781738586616635,0.797031249172847,0.799360511590727,0.783684093919728,0.808621832306536,0.821880153930731,0.815956482320943,0.815494393476045,0.811197091291816,0.822337971538511
"06511","New Haven","CT","New Haven-Milford","New Haven County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372768295075535,0.425123422929237,0.429271300666162,0.445726271630834,0.396534212941609,0.396243029057822,0.38109287361558,0.389254385964912,0.409962916473818,0.404970813738586,0.404970813738586,0.404970813738586,0.44774453861345,0.501474326260019,0.480030721966206,0.480030721966206,0.489454833924538,0.430650430650431,0.427350427350427,0.394197414064964,0.389722698684963,0.401816911250873,0.386480751742952,0.37661406025825,0.378902697787208,0.433196534427725,0.42749658002736,0.443425076452599,0.45709410043881,0.491609125032109
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31028833551769,1.2559006485672,1.2778505897772,1.28454651615415,1.2914445287953,1.33861925888886,1.38339920948617,1.34131438014626,1.34131438014626,1.32131589120702,1.32433399805696,1.34533353671567,1.32347221488164,1.27582017010936,1.24528301886792,1.37107068788179,1.33360689372179,1.30619684082625,1.30619684082625,1.29246676514032,1.2785481618849,1.34573036457059,1.34573036457059,1.31523775064655,1.310706401766,1.28176115694771,1.28267193911946,1.29439741872467
"92880","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",4,0.682539682539683,0.692447600900745,0.698324022346369,0.713795241317231,0.695704779189353,0.711958475463137,0.708174472647135,0.724462690171456,0.707418851499784,0.700348762615539,0.702007375403561,0.709639266706091,0.691918223543087,0.68980703423978,0.692602416740348,0.683229813664596,0.678794461037198,0.698191861725262,0.714285714285714,0.697916666666667,0.700454663090533,0.688329330713437,0.695142378559464,0.688044286724175,0.69479116510488,0.69593147751606,0.693742153073533,0.692307692307692,0.701480904130943,0.69962100041917,0.714285714285714,0.719034424544921,0.723310503577782,0.712235030004749,0.709639126305793,0.709876543209877,0.737551412493533,0.723091233479806,0.729251700680272,0.726561396484421,0.751325336868617,0.71078431372549,0.751325336868617,0.741399762752076,0.725733293014817,0.722661576220344,0.72108843537415,0.741978910568596,0.753701734089772,0.753483082172306,0.746855957348349,0.742472283620926,0.729108244531688,0.793230893220873,0.759526938239159,0.766145640768513,0.794990471004628,0.744313446710373,0.766156557331909,0.771055753262159,0.761296660117878,0.784938627291493,0.795853913638723,0.813195764322563,0.810443296165352,0.798860398860399,0.790350993502926,0.788866930171278,0.816449954641669,0.789286674272952,0.779478458049887,0.793136937520233,0.810443296165352,0.813498532768177,0.812607732085693,0.818675031529192,0.834442106361247,0.818452380952381,0.836418895597652,0.847025747789107,0.840336134453782,0.819087839102665,0.813344361731459,0.825228411435308,0.826107561941954,0.835781483941714,0.823810789263885,0.818371317897134,0.830670926517572,0.844004656577416
"66502","Manhattan","KS","Manhattan","Riley County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.91183838972025,0.897435897435897,0.826923076923077,0.800711743772242,0.769971126082772,0.721153846153846,0.716145833333333,0.767130963816843,0.862068965517241,1.00241629257376,0.957381099444101,0.931565217391304,0.930232558139535,0.915787334812589,0.9,0.867678958785249,0.850091407678245,0.844594594594595,0.781998965119834
"02130","Boston","MA","Boston-Cambridge-Newton","Suffolk County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902777777777778,0.922367409684858,0.989583333333333,0.916052752223144,0.899424770268001,0.917731891183219,0.904116107542232,0.869498899116641,0.849443468072642,0.841375897055184,0.873379099923722,0.957943925233645,0.928733889310083,0.95120045654918,1.02481707509383,0.998376623376623,0.940607363611932,0.943186582809224,0.942713251495121,0.928655660377358,0.888516589739794,0.864155603581352,0.885668276972625,0.883501434677688,0.917665052255927,0.909529057130422,1.01781170483461,1.07232489162674,1.17956672324824,1.0977522216414,0.951831554658206
"11937","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8536585365854,14.8148148148148,16.25,15,15,14.0625,13.4146341463415,13.4311430034001,14,14.1428571428571,13.2352941176471,14.6128593161983,14.5740740740741,13.4066085994746,13.0769230769231,13.3333333333333,13.0769230769231,11.7067307692308,12.5,12.2774708410068,11.5151515151515,11.1805555555556,11.6666666666667,12.5,12.5,13.2142857142857,12.7991452991453,12.8204615384615,12.9166666666667,12.9102564102564,12.442969722107
"02144","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05633802816901,1.00107087469711,1.01281293805535,1.01779252110977,1.01779252110977,1.14122681883024,1.301846805934,1.20805369127517,1.12630732099759,1.0590015128593,1.00644122383253,1.00644122383253,0.966183574879227,1.06414425066509,1.07642050829764,1.0964591236344,1.0919017288444,1.21715076071923,1.31172839506173,1.32408575031526,1.27372137774393,1.31535407015222,1.22295390404516,1.1,1.05232424157522,1.08394501251644,1.11687275628241,0.997207818109294,1.16720671842613,1.33056133056133,1.42148009748264,1.3326535466366,1.30241423125794,1.28580624396524
"02134","Boston","MA","Boston-Cambridge-Newton","Suffolk County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,2.17519181585678,2.17391304347826,2.04,2,1.76190476190476,2,2.08333333333333,2.22222222222222,2.25,2.275,2.27272727272727,2.25,2.2344249201278,2.2344249201278,2.2344249201278
"14216","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417976088615192,0.43273013375295,0.43429003021148,0.430478916158788,0.428512709542185,0.440205429200293,0.454545454545455,0.433464105339105,0.422684943637843,0.443672839506173,0.438262195121951,0.423564525052733,0.414997708657215,0.427350427350427,0.467289719626168,0.475647981688783,0.463874865513531,0.473251028806584,0.452180852513947
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3930373618522,4.5303920065093,4.86842105263158,4.94688490047927,5.14775144837734,5.43657405406775,5.13388937664618,5.11152416356877,5.39160045402951,5.51501781774987,5.32051224914543,5.55637872277374,5.55637872277374,5.77190957190957,5.720152537401,5.44077134986226,5.70218312153796,5.7111433938386,5.75053918044572,5.92801655039066,5.77190957190957,5.46262386425956,5.49882168106834,5.41666666666667,5.41666666666667,5.35245862931964,5.20099980443923,5.39259175007583,5.28709494030699,5.13365197380067,5.04597443372954
"14213","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475920893719807,0.48828125,0.452586206896552,0.409090909090909,0.415273423894114,0.456880237902136,0.395299145299145,0.378557032487163,0.406187354788925,0.392110266159696,0.399691257039194,0.448052176889927,0.488328544565887,0.465227088402271,0.416380494505495,0.413837270149563
"11968","Southampton","NY","New York-Newark-Jersey City","Suffolk County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7168171866448,12.8189338235294,13.3928571428571,15.1086956521739,15.0320110469495,16.6114790286976,16.8178331735379,17.7598566308244,16.9138008440334,16.9138008440334,15.8406879384476,15.3052300157425,15,15,15.3052300157425,15,15.3947368421053,16.0238095238095,16.6666666666667,19.0114755579651,17.7430555555556,16.9031476997579,17,16.8471720818291,15.7894736842105,14.9117844333783,15.8730158730159,16,14.2064372918979,14.8902821316614,14.5208131655373,13.9806403574088,14.2231867000147,15,13,12.6392785728751,13.078231292517,13,13.8277812696417,13.8263330311342,13.6017988968714,13.7174211248285,13.8568868407578,13.4506391201988,13.8888888888889,14.0625,14.4097222222222,14.9179549568262,13.6843642752084
"11963","Sag Harbor","NY","New York-Newark-Jersey City","Suffolk County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6666666666667,19.3668831168831,19.5357142857143,16.8154761904762,14.9082568807339,13.75,13.1764577278222,14.1304347826087,14,14.6551724137931,14.2080745341615,13.694569313875,13.6873802354229,14.4704433497537,12.8824476650564,13.0434782608696,12.8697952610996,12.8960943257185,12.8571428571429,12.8498043052838,13,14.2857142857143,13,12.8571428571429,13.2702200649718,12.8571428571429,13.0767712715479,13.8886666666667,13.5889943181818,13.8888095238095,14.2857142857143
"81611","Aspen","CO","Glenwood Springs","Pitkin County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2792530409457,10.3914097679252,10.3353314044354,9.90853658536585,9.8474341710062,9.90853658536585,9.86132290531426,9.86132290531426,10.132252559727,10.2057528003363,9.86132290531426,9.86132290531426,9.13520097442144,9.36698616584385,9.90853658536585
"11976","Water Mill","NY","New York-Newark-Jersey City","Suffolk County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7908968602043,17.2413793103448,16.1458333333333,19.047619047619,18.3823529411765,16.7950019743894,16.1458333333333,14.8799360876512,14.3575017946877,15.4761904761905,17.4585574403531,16.0214552238806,16.4179104477612,17.2413793103448,17.2413793103448,16,16.0307790958641,15.5555555555556,15.0301204819277,15.0602409638554,14.4444444444444,12.7620783956244,14.2857142857143,13.3333333333333,14.2857142857143,15,14.8809523809524,14.8809523809524,15.4761904761905,16.4498280245252,16.3610833333333,15.6926406926407
"11932","Bridgehampton","NY","New York-Newark-Jersey City","Suffolk County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8571428571429,17.8174603174603,18.9655172413793,20.7547169811321,22,18.046398046398,19.8863636363636,19,16.8421052631579,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.4705882352941,14.9285714285714,15.5555555555556,15.7142857142857,15.6696428571429,16,16.260162601626,16,15.9090909090909,14.0512820512821,14.575528175814,15.3557503113887,14.4451739986868,14.4451739986868,15.6184922948771,15.7142857142857,16.125,15,14.6507936507937,14.8571428571429,15.3225806451613,16.5,16.6665,16.3793103448276
"11962","Sagaponack","NY","New York-Newark-Jersey City","Suffolk County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0598290598291,16.963036963037,18.3766233766234,17.7777777777778,16.6666666666667,16.6666666666667,15.1103500761035,16.6666666666667,16.25,16.6666666666667,16.6666666666667,16.6666666666667,16.125,16.9821428571429,17.4618979882138,17,16.7832167832168,16.7832167832168,17.1428571428571,16.7832167832168,15.8125,16.6666666666667,16.6666666666667,17.1428571428571,17.6470588235294,16.6666666666667,16.6666666666667,18.5714285714286,18.2465277777778,18.4779166666667,17.5714285714286
